Species Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
Stereum rubiginosum var. rubiginosum,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hymenochaete,Hymenochaete rubiginosa
Stereum sanguinolentum f. sanguinolentum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum sanguinolentum
Stereum sanguinolentum subsp. sanguinolentum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum sanguinolentum
Stereum sowerbyi,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Podoscypha,Podoscypha petalodes
Stereum spadiceum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Porostereum,Porostereum spadiceum
Stereum striatum var. ochraceoflavum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum ochraceoflavum
Stereum tabacinum var. crocatum,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hydnoporia,Hydnoporia tabacina
Stereum versiforme f. erumpens,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Dendrophora,Dendrophora erumpens
Stereum elegans var. bolleanum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Podoscypha,Podoscypha elegans
Stereum elegans var. nitidulum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Podoscypha,Podoscypha nitidula
Stereum elegans var. surinamense,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Podoscypha,Podoscypha nitidula
Stereum sowerbyi var. albidum,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Cotylidia,Cotylidia komabensis
Stereum sowerbyi var. sowerbyi,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Podoscypha,Podoscypha petalodes
Stereum pulverulentum,Fungi,Basidiomycota,Agaricomycetes,,,,
Stereum pulverulentum,Fungi,Basidiomycota,Agaricomycetes,,,,
Stereum sulphuratum,Fungi,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllaceae,Boreostereum,Boreostereum sulphuratum
Stereum frustulatum var. concavum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Xylobolus,Xylobolus frustulatus
Sterigmatobotrys elongatus,Fungi,Ascomycota,,,,Civisubramaniania,Civisubramaniania elongata
Sterigmatocystis auricoma,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus auricomus
Sterigmatocystis carbonaria,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus carbonarius
Sterigmatocystis elegans,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus elegans
Sterigmatocystis ficuum,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ficuum
Sterigmatocystis flavipes,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavipes
Sterigmatocystis gigantea,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus giganteus
Sterigmatocystis lutea,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sterigmatocystis,Sterigmatocystis lutea
Sterigmatocystis nidulans,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nidulans
Sterigmatocystis nigra,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sterigmatocystis,Sterigmatocystis nigra
Sterigmatocystis ochracea,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,,,
